uid,start,end,all_day,venue,doors,showtime,live_start,live_end,meet_start,meet_end,summary,location,description,status,recurrence,last_modified
697pjnraaoi8jpfvoi5u4nc8t9@google.com,2025-10-12,2025-10-12,yes,下北沢MOSAiC,11:30,12:00,18:15,18:40,20:25,21:25,【イベント】雨模様のソラリス presents「Festival in the Rain 2025」,,"10月12日(日)@ 下北沢4会場周遊フェス
雨模様のソラリス presents「Festival in the Rain 2025」
チケット
好天チケット 8,800円 /
一般チケット4,800円 / 当日券 5,500円（各+1D）
好天チケット特典：インベントロゴTシャツ(XLのみ)/シャングリラ優先入場エリア入場

■チケット販売サイト
http://perfectmusic.zaiko.io/item/374338
※チケット発売：9/18(木) 21:00先着",CONFIRMED,,20250917T043316Z
3o0n3gohtgfv1m2skv54hfm9jk@google.com,2025-10-13,2025-10-13,yes,神田 CLUB F#,16:30,17:00,,,,,【イベント】「かんだでもおともだち 〜おてつだい じ〜け〜ないと〜」,,"10月13日(月・祝)@ 神田 CLUB F#
「かんだでもおともだち 〜おてつだい じ〜け〜ないと〜」
開場 16:30/  開演 17:00
チケット 前売2,500円 当日 3,500円(各+1D)
出演 さとりモンスター / ROY Limited GIRLFRIEND  / Drawry. / Layn / 会心ノ一撃 / 猫の眼に宇宙  / ilpleut / HOTALOOP
※再入場自由

■チケット販売サイト
https://t-dv.com/kandademobestfriend2025
※チケット発売: 9/29(月)22:00先着",CONFIRMED,,20250929T090300Z
47fmbscf88lo1enn9dolm8rdm8@google.com,2025-10-18,2025-10-18,yes,恵比寿CreAto,10:15,10:30,,,,,【イベント】「コウサツ」,,"10月18日(土)@ 恵比寿CreAto
「コウサツ」
開場 10:15/  開演 10:30
チケット 前売2,400円 当日 2,900円(各+1D)
出演 個性美術館 / じゅじゅ / シンダーエラ / SWANTICK / セカイシティ / ゼノシンフォニー / demipogune / Drawry.

■チケット販売サイト
https://t.livepocket.jp/e/vy7g3",CONFIRMED,,20251006T131344Z
7ao4m28mgjlgqkm7b3316ucp6t@google.com,2025-10-18,2025-10-18,yes,大塚hearts NEXT,16:30,17:00,18:30,19:00,19:45,20:55,【イベント】ギュウ農フェス mini『この秋、運命は勇者に微笑む』～夕の部～,,"10月18日(土)@ 大塚hearts NEXT
ギュウ農フェス mini『この秋、運命は勇者に微笑む』～夕の部～
開場 16:30/ 開演 17:00
チケット 前売2,900円 当日 3,400円(各+1D)
出演 ゑんら / エレクトリックリボン / Drawry. / NaNoMoRaL / AIR-CON BOOM BOOM ONESAN

ライブ 18:30~19:00
特典会 19:45~20:55

■チケット販売サイト
https://t.livepocket.jp/e/gyu251018eve
※前売りチケット 10/18 1:00まで

■配信サイトあり(1,000円)
https://premier.twitcasting.tv/hearts_next/shopcart/401103※こちらの配信は固定カメラによる配信を予定しております。配信画面のスクリーンショットの撮影やSNS等への掲載はご遠慮くださいますようお願いいたします。",CONFIRMED,,20251017T091327Z
1s93n65rm9bju65gpc23dm6u6e@google.com,2025-10-19,2025-10-19,yes,渋谷Spotify O-Crest,11:30,12:00,13:15,13:40,14:10,15:10,【イベント】NEW AGE MUGEN EMO(DAY),,"10月19日(日)@ 渋谷Spotify O-Crest
NEW AGE MUGEN EMO(DAY)
開場 11:30/ 開演 12:00
チケット 前売2,800円 当日 3,500円(各+1D)
出演 会心ノ一撃 / ROY Limited GIRLFRIEND / may in film / NINGENKYOU / ラストブルー / yumegiwa last girl / Drawry. / 冬野ななせ

ライブ 13:15~13:40
特典会 14:10~15:10

■チケット販売サイト
https://t-dv.com/newageemomugenday1019
※チケット発売：10/13(月)22:00先着",CONFIRMED,,20251014T040915Z
301c0ri94ucbge2vjv7k57opa9@google.com,2025-10-21,2025-10-21,yes,大塚Hearts+,18:30,19:00,,,,,【イベント】「#pmbfriends vol.1」,,"10月21日(火)@ 大塚Hearts+
「#pmbfriends vol.1」
開場 18:30/  開演 19:00
チケット 前売2,500円 / 当日券 3,000円(各+1D)
出演 ponderosa may bloom / ハチキュウ / Drawry. / NEW POLARIS

■チケット販売サイト
https://t.livepocket.jp/e/pmbf01
※チケット発売：9/29(月)21:00先着",CONFIRMED,,20250927T110430Z
2o65v8nv02inp0mhi1hinuoc73@google.com,2025-10-24,2025-10-24,yes,Flowers Loft,18:00,18:30,,,,,【イベント】『アネモネ』,,"10月24日(金)@ 下北沢Flowers Loft
『アネモネ』
開場 18:00/  開演 18:30
チケット 前売1,500円 当日 2,500円(各+1D)
出演 yumegiwa last girl / may in film / Drawry. / HOTALOOP

■チケット販売サイト
https://t.livepocket.jp/e/anemone251024
※チケット発売: 10/5(日)21:00先着",CONFIRMED,,20251004T124623Z
2f3h11s3upokgt9e1s8v9h6ri6@google.com,2025-10-26,2025-10-26,yes,SHIBUYA RING,09:00,09:20,10:40,11:00,11:15,12:15,【イベント】『LEADING Circuit HELLOWEEN』,,"特典会：衣装+ハロウィン小物着用

10月26日(日)@ duo MUSIC EXCHANGE&SHIBUYA RING
『LEADING Circuit HELLOWEEN』
チケット 前方エリア 7,000円 一般 3,500円(各+1D)
※前方エリアはduoのみとなります。

■チケット抽選サイト
https://ticketvillage.jp/events/13532
抽選期間：9/29(月) 23:59まで",CONFIRMED,,20251003T155145Z
510ap4b13vrr1kfrfv5j9ota18@google.com,2025-10-26,2025-10-26,yes,新宿MARZ,18:00,18:30,,,,,【イベント】UNIVERSE企画『NEW ORDER』,,"ハロウィン仮装特典会実施！

10月26日(日)@ 新宿MARZ
UNIVERSE企画『NEW ORDER』
開場 18:00/  開演 18:30
チケット 前売2,400円 当日 2,900円(各+1D)
出演 Untitled / Drawry. / ねおち / 開歌-かいか-

■チケット販売サイト
https://t.livepocket.jp/e/xnl9r
※チケット発売: 10/1(水)22:00先着",CONFIRMED,,20251003T155115Z
33i7f7gs73g2oieh0ttsc4q3su@google.com,2025-10-27,2025-10-27,yes,新宿MARZ,18:50,19:10,,,,,【イベント】「エンジョイナス‼」,,"10月27日(月)@ 新宿MARZ
「エンジョイナス‼」
開場 18:50/  開演 19:10
チケット 前売1,900円 当日 2,400円(各+1D)
出演 AFTERS / iRiNE / Untitled / Drawry.

■チケット販売サイト
https://t.livepocket.jp/e/z82vf
※チケット発売: 10/3(金)22:00先着",CONFIRMED,,20251002T143748Z
55icp9hnemnu349eujvhcvgmm6@google.com,2025-11-01,2025-11-01,yes,四谷LOTUS,16:30,16:45,20:15,20:40,20:45,21:45,【イベント】INFINITY LIVE presents『Princeism - Night - 』,,"11月1日(土)@ 四谷LOTUS
INFINITY LIVE presents『Princeism - Night - 』
開場 16:30/ 開演 16:45
チケット 優先2,900円 一般 2,400円 当日 2,900円(各+1D)
出演 8°世界が変われば、/ Drawry. / キキレイレイ / il pleut / マイナーガール / トナリア / demipogune / えくすくらめーしょん！ / アイル

ライブ 20:15~20:40
特典会 20:45~21:45

■チケット販売サイト
https://t.livepocket.jp/e/20251101_night
※チケット発売：10/23(木)22:30先着",CONFIRMED,,20251022T131228Z
4eocno6jtlm7me3o4tp1h7heei@google.com,2025-11-02,2025-11-02,yes,大塚Hearts+,10:30,11:00,,,,,【イベント】Hearts+ presents「秋のYOIMACHI」,,"11月2日(日)@ 大塚 Hearts＋、Hearts Next、MEETS、お風呂ステージ(大塚記念湯)、ラーメンステージ(麺屋いぶすけ)
Hearts+ presents「秋のYOIMACHI」
開場 10:30/ 開演 11:00
チケット 前売り 4,000円 当日 5,000円(各+1D)

■チケット販売サイト
イープラス
https://eplus.jp/sf/detail/4413460001-P0030001

LivePocket
https://t.livepocket.jp/e/yoimachi1102",CONFIRMED,,20251025T033914Z
6uqoqld8v3b8nv399kljen2pcn@google.com,2025-11-03,2025-11-03,yes,秋葉原周辺ライブハウス,10:45,11:30,12:10,12:30,13:00,14:00,【イベント】『秋葉原アイドルサーキット vol.5』,,"11月3日(月・祝)@ 秋葉原周辺ライブハウス
『秋葉原アイドルサーキット vol.5』
開場 10:45/ 開演 11:30
チケット 前売7,500円 (+1D)
※都月ゆめは学業都合によりお休みとなります。あらかじめご了承ください。

ライブ 12:10~12:30(TwinBoxGARAGE)
特典会 13:00~14:00(P.A.R.M.S)

■チケット販売サイト
https://atjam.jp/ticket",CONFIRMED,,20251025T103214Z
39mrm0e7l6945sadb4vl9v34er@google.com,2025-11-08,2025-11-08,yes,下北沢MOSAiC,11:00,11:30,,,,,【イベント】「アイクル2025本祭 ~WAKUWAKU CIRCUIT ~」,,"「Drawry.」「めみあず」の出演。

11月8日(土)@ 下北沢周辺ライブハウス
「アイクル2025本祭 ~WAKUWAKU CIRCUIT ~」
開場11:00 開演11:30  
チケット
① VIP Sチケット ¥20,000 (D代無)
全会場フリーパス（入場規制時も含む）
ドリンクチケット10枚
オフィシャルパーカー 付
②ONE DAYTIKCET   6800円(+2D代)
③DAY TIKCET 5,500円(+1D代)
※DAYのみの出演となります。

■チケットサイト
https://t-dv.com/idolcruising2025wakuwakucircuit
※先行抽選(10/01 22:00〜10/12 23:59)
一般発売(10/16 22:00〜)",CONFIRMED,,20251029T130056Z
0jtputfi1ov77hthi3keienms8@google.com,2025-11-09,2025-11-09,yes,Flowers Loft,11:00,11:30,,,,,【イベント】『WEEKEND無限脱却SPECIAL 2025』,,"11月9日(日)@ 下北沢シャングリラ / MOSAiC / ERA / Flowers LOFT
『WEEKEND無限脱却SPECIAL 2025』
開場 11:00/  開演 11:30
チケット 前売 先行抽選4,300円 / 一般販売4,800円(各+1D)

■チケットサイト
https://t-dv.com/weekendmugendakkyakuspecial2025
※抽選期間：10/03 22:00〜10/12 23:59",CONFIRMED,,20251003T135726Z
1tnsqg7767nv4i7soc70qvd1pd@google.com,2025-11-10,2025-11-10,yes,大塚Hearts+,18:00,18:30,,,,,【イベント】日ノ目企画presents“MONDAYDRIVE”,,"11月10日(月)@ 大塚Hearts+
日ノ目企画presents“MONDAYDRIVE”
開場 18:00/  開演 18:30
チケット 前売2,800円 当日 3,300円(各+1D)
出演 AQ / スパンコールグットタイムズ / 0番線と夜明け前 / Drawry. / vividbird / yumegiwa last girl

■チケット販売サイト
https://t.livepocket.jp/e/hnm1110ohp
※チケット発売: 10/8(水)19:00先着",CONFIRMED,,20251007T100740Z
6njvp3mgt9tdnp7sb771iq05a8@google.com,2025-11-11,2025-11-11,yes,高円寺HIGH,18:15,18:45,,,,,"【イベント】AQ&0番線と夜明け前 共同企画""永久番線""",,"11月11日(火)@ 高円寺HIGH
AQ&0番線と夜明け前 共同企画""永久番線""
開場 18:15/ 開演 18:45
チケット 前売3,000円 当日 3,500円(各+1D)
出演 NUANCE / ねおち / 0番線と夜明け前 / Drawry.
※AQは体調不良により出演キャンセルとなりました。

■チケット販売サイト
https://t.livepocket.jp/e/hopni",CONFIRMED,,20251109T043630Z
5lffu6p55t51llnf3obmps2d3d@google.com,2025-11-14,2025-11-14,yes,新宿MARZ,18:30,19:00,,,,,【イベント】UNIVERSE企画『NEW ORDER』,,"11月14日(金)@ 新宿MARZ
UNIVERSE企画『NEW ORDER』
開場 18:30/ 開演 19:00
チケット 前売1,900円 当日 2,400円(各+1D)
出演 Untitled / キキレイレイ / Drawry. / YUGUREMI

■チケット販売サイト
https://t.livepocket.jp/e/0qd3g
※チケット発売：10/11(土)22:00",CONFIRMED,,20251010T120332Z
4p3b5fdah8igfrmsd8t4cpbcpv@google.com,2025-11-16,2025-11-16,yes,Flowers Loft,11:00,11:30,,,,,【イベント】『アネモネ』,,"11月16日(日)@ 下北沢Flowers Loft
『アネモネ』
開場 11:00/ 開演 11:30
チケット 前売2,500円 当日 3,500円(各+1D)
出演 may in film / Drawry. / ねおち / CoTei

■チケット販売サイト
https://t.livepocket.jp/e/anemone3
※チケット発売：11/3(月)22:00先着",CONFIRMED,,20251102T132143Z
2hih7e5imrucg8gev67ju41dr6@google.com,2025-11-22,2025-11-22,yes,新宿LOFT,08:45,09:10,,,,,【イベント】『ともだちFES 2025』,,"11月22日(土)@ 新宿LOFT
『ともだちFES 2025』
開場 8:45/ 開演 9:10
チケット 先行ともだち割 3,900円 一般 4,500円(+1D)

■チケット販売サイト
https://ticketdive.com/event/tomodachifes2025
※先行チケット発売：10/11(土)18:00~10/19(日) 23:59",CONFIRMED,,20251117T115828Z
4o56fpt8n68qeej666nckv5d79@google.com,2025-11-23,2025-11-23,yes,Spotify O-Crest,10:30,11:00,,,,,【イベント】『NEW AGE EMO MUGEN -DAY-』,,"11月23日(日)@ 渋谷Spotify O-Crest
『NEW AGE EMO MUGEN -DAY-』
開場 10:30/ 開演 11:00
チケット 前売2,900円 当日 3,600円(各+1D)
出演 BELLRING少女ハート / Untitled / FOKALITE / AFTERS / Drawry. / さとりモンスター / スパンコールグッドタイムズ / YOUR ADVISORY BOARD / 猫の眼に宇宙 / zanka

■チケット販売サイト
https://t-dv.com/newageemomugen1123d
※チケット発売：11/11(火）22:00先着",CONFIRMED,,20251122T100729Z
72brvb1htocru71irumhbpvs81@google.com,2025-11-24,2025-11-24,yes,下北沢MOSAiC,11:00,11:20,,,,,【イベント】Drawry.主催イベント「build a family vol.1」,,"11月24日(月・祝)@ 下北沢MOSAiC
Drawry.主催イベント「build a family vol.1」
開場 11:00/  開演 11:20
チケット 前売2,000円 当日 2,500円(各+1D)
出演 Drawry. / vividbird / CoTei

■チケット販売サイト
https://t.livepocket.jp/e/build_a_family1
※チケット発売: 10/9(木)22:00先着",CONFIRMED,,20251008T100046Z
03o9pqn7mrmkdp50651te81p9h@google.com,2025-11-29,2025-11-29,yes,ベルサール渋谷,09:30,10:00,,,,,【イベント】TIF学園 「学園祭」秋,,"11月29日@ ベルサール渋谷ガーデン
TIF学園 「学園祭」秋
開場 9:30/ 開演 10:00
チケット 優先エリア9,000円 一般 4,000円(各+1D)
TIF学園青春チケット:1,000円 / 1枚
※当日は、入場料の他に上記の学園祭特別チケットをお買い求めいただければ、各種コンテンツにご参加いただけます。

■チケットサイト
https://ticketvillage.jp/events/13585
[先行抽選]
10/15(水)20:00 ~ 10/31(金) 23:59
[一般発売]
11/1(土) 20:00",CONFIRMED,,20251030T110140Z
06ots1h65f2k9qs9i12riqtrsg@google.com,2025-11-30,2025-11-30,yes,SUPERNOVA KAWASAKI,11:30,11:45,12:10,12:30,12:40,13:40,【イベント】『BUNFES Vol.3』,,"11月30日(日)@ SUPERNOVA KAWASAKI
『BUNFES Vol.3』
開場 11:30/ 開演 11:45
チケット 前方エリア 5,000円 / 一般エリア 3,000円(各+1D)
出演者 アイドルカレッジ／INSRiA／えすれある／開歌-かいか-／会心ノ一撃／月刊PAM／Shupines／スパンコールグッドタイムズ／セカイシティ／空野青空／Dear.HOLIC／トナリア／NANONI／Beloved／vividbird／POPPiNG EMO／YUGUREMI／RED-i／iRiNE／unSea ／ 水槽とクレマチス ／ Drawry. ／ hakanai ／ ラストブルー

ライブ 12:10~12:30
特典会 12:40~13:40(並行物販B)

■チケット販売サイト
https://tiget.net/events/438337",CONFIRMED,,20251120T100141Z
7mb51mgsr5jaumf25bkgbdhjes@google.com,2025-11-30,2025-11-30,yes,四谷LOTUS,17:00,17:15,,,,,【イベント】INFINITY LIVE presents『Princeism』,,"11月30日(日)@ 四谷LOTUS
INFINITY LIVE presents『Princeism』
開場 17:00/ 開演 17:15
チケット 優先2,900円 一般 2,400円 当日 2,900円(各+1D)
出演 Drawry. / MEWCATUNE / demipogune / ponderosa may bloom / キキレイレイ / 美味しい水玉 / Layn / 8°世界が変われば、

■チケット販売サイト
https://t.livepocket.jp/e/20251130_night
※チケット発売：11/12(水）22:00先着",CONFIRMED,,20251111T153912Z
74lgh1lr5flp7tvc7maj49238q@google.com,2025-12-01,2025-12-01,yes,渋谷WOMB,17:00,17:30,,,,,"【イベント】『AFTERS PRESENTS. 「Hey, nuts buddy!」』",,"12月1日(月)@ 渋谷WOMBLIVE
『AFTERS PRESENTS. 「Hey, nuts buddy!」』
開場 17:00/ 開演 17:30
チケット 前売2,500円 当日 3,000円(各+1D)
出演 AFTERS / BELLRING少女ハート / Finger Runs / Maison de queen / 校庭カメラガールフィーア / Drawry. / KAMAITACI

■チケット販売サイト
https://t-dv.com/nuts_buddy
※チケット発売：10/31(金)22:00先着",CONFIRMED,,20251126T234403Z
5q145r1lknr22695ok9snsls7p@google.com,2025-12-06,2025-12-06,yes,SHIBUYA RING,15:40,16:00,,,,,【イベント】『澀谷環狀空間』,,"12月6日(土)@ SHIBUYA RING
『澀谷環狀空間』
開場 15:40/  開演 16:00
チケット 前売2,800円 当日 3,800円(各+1D)
出演 I to U $CREAMing!! / KAMAITACI / cowolo / GigiL / Question.VI / zanka / Drawry. / diig / Chalca / vividbird / Malcolm Mask McLaren / RePLAY

■チケット販売サイト
https://ticketvillage.jp/events/13608
※チケット発売：11/14(金）22:00先着",CONFIRMED,,20251125T143707Z
1ldlruj85luujlqjfimsl84qv4@google.com,2025-12-08,2025-12-08,yes,新宿MARZ,18:30,19:00,,,,,【イベント】SHINJUKUMARZ 24th Anniversary UNIVERSE企画『NEW ORDER #無銭NIGHT』,,"12月8日(月)@ 新宿MARZ
SHINJUKUMARZ 24th Anniversary
UNIVERSE企画『NEW ORDER #無銭NIGHT』
開場 18:30/ 開演 19:00
チケット 前売0円 当日 1,000円(各+2D)
出演 会心ノ一撃 / Drawry. / vividbird / yumegiwa last girl

■チケット販売サイト
https://t.livepocket.jp/e/3dy7e
※チケット発売：11/11(火)22:00先着",CONFIRMED,,20251110T131146Z
19t30atdobhrjs68q5j7idngrk@google.com,2025-12-13,2025-12-13,yes,下北沢MOSAiC,16:45,17:00,,,,,【イベント】INFINITY LIVE presents 『WHITEDAYS』,,"12月13日(土)@ 下北沢MOSAiC
INFINITY LIVE presents 『WHITEDAYS』
開場 16:45/ 開演 17:00
チケット 優先2,900円 一般 2,400円 当日 2,900円(各+1D)
出演 雨模様のソラリス / ピューパ!! / LUCY / PANDAMIC / Drawry. / ponderosa may bloom / YUGUREMI / Untitled / YOUR ADVISORY BOARD

■チケット販売サイト
https://t.livepocket.jp/e/20251213_night
※チケット発売：11/28(金)22:30先着",CONFIRMED,,20251127T130102Z
2u17onaqc4ps4nrlplgm6nfd3h@google.com,2025-12-14,2025-12-14,yes,表参道GROUND,11:30,12:00,,,,,【イベント】『TOKYO BEATREC』,,"12月14日(日)@ 表参道GROUND
『TOKYO BEATREC』
開場 11:30 / 開演 12:00
チケット 前売 2,500円 当日 3,500円(各+1D)
出演 AZ-ON / Drawry. / may in film / LEIWAN

■チケット販売サイト
https://ticketvillage.jp/events/13632
※チケット発売：12/3(水)22:00先着",CONFIRMED,,20251130T161245Z
378rcno6pgujok9d0i4g46qpvu@google.com,2025-12-20,2025-12-20,yes,下北沢ADRIFT,11:00,11:30,,,,,【イベント】NEW AGE  ＋ HASYAGE JAPAN 2025 忘年会 『ニューハシャゲ』,,"12月20日(土)@ 下北沢ADRIFT
NEW AGE  ＋ HASYAGE JAPAN 2025 忘年会
『ニューハシャゲ』
開場 11:00/  開演 11:30(予定)
チケット
早割フード付き(フード1品＋高橋ミキ商店 写メ券つき)5,000円
早割通常 4.000円
前売 4,500円 当日 5,000円(各+1D)

■チケット販売サイト
https://t-dv.com/newagehasyage2025
※先行早割チケット発売：11/26(水)19:00先着",CONFIRMED,,20251125T100901Z
77lv07toepr1cip9pr6o8dvjfa@google.com,2025-12-20,2025-12-20,yes,青山RizM,11:00,11:30,,,,,【イベント】脱却presents BREAKING RizMVol.1,,"12月20日(土)@ 青山RizM
脱却presents【 BREAKING RizMVol.1】
開場 11:00 / 開演 11:30
チケット 前売り 2,500円 当日 3,500円(各+1D)
出演 トナリア / Untitled / iRiNE / Drawry.

■チケット販売サイト
https://livepocket.jp/e/mlavi
※チケット発売：12/7(日)22:00先着",CONFIRMED,,20251206T130118Z
5ifkesve1tb54c6mimpfm89pkh@google.com,2025-12-21,2025-12-21,yes,SHIBUYA CYCLONE,11:30,12:00,,,,,【イベント】Drawry.主催イベント「都月ゆめ生誕」,,"12月21日(日)@ shibuya CYCLONE
Drawry.主催イベント「都月ゆめ生誕」
開場 11:30/ 開演 12:00
チケット 前売2,500円 当日 3,000円(各+1D)
出演 Drawry. / KATA☆CHU / 都月ゆめ

■チケット販売サイト
https://livepocket.jp/e/3bq9q
※チケット発売：12/2(火)22:00先着",CONFIRMED,,20251201T100110Z
